V1,V2,V3,V4,V5,V7,V8,V9,V10,Intro,Q54,Q55,Syn1: A,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Syn1: N,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Syn2: A,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Syn2: N,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Syn3: A,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Syn3: N,Q62_1,Q62_2,Q62_3,Q62_4,Q62_5,Emo1: A,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Emo1: N,Q64_1,Q64_2,Q64_3,Q64_4,Q64_5,Emo2: A,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Emo2: N,Q66_1,Q66_2,Q66_3,Q66_4,Q66_5,Emo3: A,Q67_1,Q67_2,Q67_3,Q67_4,Q67_5,Emo3: N,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Lex1: A,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Lex1: N,Q70_1,Q70_2,Q70_3,Q70_4,Q70_5,Lex2: A,Q71_1,Q71_2,Q71_3,Q71_4,Q71_5,Lex2: N,Q72_1,Q72_2,Q72_3,Q72_4,Q72_5,Lex3: A,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Lex3: N,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Spac1: A,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Spac1: N,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Spac2: A,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Spac2: N,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Spac3: N,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Spac3: A,Q80_1,Q80_2,Q80_3,Q80_4,Q80_5,Q56
R_Op6EOFiahPH7GSZ,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:12,1,1,1,1977,1,6,6,6,7,7,,,,,,,,,,,,,1,5,5,5,4,4,1,3,4,4,2,2,,,,,,,1,6,7,7,5,5,,,,,,,,,,,,,1,1,2,2,1,1,1,5,6,7,4,5,,,,,,,,,,,,,1,6,7,7,7,6,1,6,7,7,7,7,,,,,,,1,1,1,2,1,1,,,,,,,1,3,3,4,3,3,,,,,,,1,3,2,4,3,1,,,,,,,,,,,,,1,7,7,6,5,4,1
R_2TRUL77tIMVTeRD,Default Response Set,Anonymous,,,0,10/22/15 17:09,10/22/15 17:12,1,1,1,1984,1,5,5,4,5,5,,,,,,,1,3,3,2,2,3,,,,,,,,,,,,,1,6,4,5,5,6,1,6,6,7,6,7,,,,,,,1,6,5,5,7,6,,,,,,,,,,,,,1,3,2,4,1,4,1,6,5,6,6,6,,,,,,,1,4,5,4,4,5,,,,,,,,,,,,,1,3,4,4,2,4,,,,,,,1,3,5,4,4,5,1,6,4,5,5,5,,,,,,,1,4,6,6,5,5,,,,,,,1
R_a2EX19p6ZzpQZ6p,Default Response Set,Anonymous,,,0,10/22/15 16:59,10/22/15 17:13,1,1,2,1962,,,,,,,1,5,4,4,5,4,1,6,6,6,6,6,,,,,,,,,,,,,1,3,2,3,2,2,,,,,,,1,2,1,3,2,4,,,,,,,1,4,3,4,4,4,1,5,5,6,5,5,,,,,,,,,,,,,1,6,6,6,6,6,,,,,,,1,3,2,2,2,2,,,,,,,1,2,1,3,2,5,1,2,1,3,2,4,,,,,,,1,4,5,5,4,5,,,,,,,,,,,,,1,6,7,6,6,6,1
R_1QMGICoDa1I8zIX,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:13,1,1,1,1984,1,5,5,4,5,4,,,,,,,1,3,3,4,3,3,,,,,,,1,4,3,5,2,2,,,,,,,1,4,4,5,3,2,,,,,,,,,,,,,1,3,3,4,3,3,,,,,,,1,3,3,4,2,3,,,,,,,1,5,5,5,4,4,1,4,4,4,4,3,,,,,,,1,2,2,3,2,2,,,,,,,,,,,,,1,3,2,4,2,2,,,,,,,1,4,4,5,3,3,1,4,4,5,5,4,,,,,,,1
R_1f88656PDoKm8uk,Default Response Set,Anonymous,,,0,10/22/15 17:00,10/22/15 17:13,1,1,1,1978,,,,,,,1,5,5,6,6,5,,,,,,,1,3,2,2,4,4,1,4,3,4,2,2,,,,,,,,,,,,,1,3,2,4,2,4,,,,,,,1,2,1,2,2,2,,,,,,,1,2,2,3,1,1,,,,,,,1,5,5,5,6,3,1,5,4,5,5,4,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,4,4,6,3,3,1,5,5,6,4,2,,,,,,,,,,,,,1,3,3,4,6,3,1
R_3lYo5FNyFsb94ii,Default Response Set,Anonymous,,,0,10/22/15 16:59,10/22/15 17:13,1,1,2,1993,1,2,2,4,4,4,,,,,,,,,,,,,1,4,3,4,5,6,1,3,2,4,4,4,,,,,,,1,3,3,4,4,4,,,,,,,1,3,4,3,1,4,,,,,,,1,3,4,5,3,4,,,,,,,,,,,,,1,3,3,4,5,2,,,,,,,1,3,3,2,5,4,,,,,,,1,4,3,2,4,5,1,3,2,4,3,4,,,,,,,1,4,4,1,4,4,,,,,,,,,,,,,1,4,4,4,4,4,1
R_1F5SbxYVCeSvss0,Default Response Set,Anonymous,,,0,10/22/15 16:57,10/22/15 17:14,1,1,2,1990,,,,,,,1,5,4,5,4,4,1,3,3,4,4,4,,,,,,,1,5,4,5,4,4,,,,,,,,,,,,,1,6,6,6,6,6,,,,,,,1,4,4,3,3,3,1,6,6,6,5,5,,,,,,,,,,,,,1,6,6,5,5,5,,,,,,,1,5,4,4,5,4,1,4,4,4,6,6,,,,,,,1,5,5,5,4,4,,,,,,,1,5,5,4,4,4,,,,,,,1,5,4,5,4,5,,,,,,,1
R_3KNF09ydXB4gouT,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:14,1,1,1,1990,,,,,,,1,5,5,6,6,6,,,,,,,1,5,5,5,7,5,,,,,,,1,1,1,1,1,1,1,2,2,2,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,4,4,4,3,2,,,,,,,,,,,,,1,5,6,5,5,5,,,,,,,1,6,3,6,6,6,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,2,1,1,1,3,3,3,3,3,,,,,,,,,,,,,1,5,4,5,5,5,1
R_1jVCwmDMfWCzDSd,Default Response Set,Anonymous,,,0,10/22/15 16:59,10/22/15 17:15,1,1,1,1979,1,5,5,7,6,7,,,,,,,,,,,,,1,6,7,6,6,6,1,3,3,5,5,4,,,,,,,,,,,,,1,2,2,3,3,3,,,,,,,1,2,1,2,3,2,1,5,6,7,6,6,,,,,,,1,6,7,7,7,6,,,,,,,,,,,,,1,7,7,7,7,7,1,2,1,1,2,2,,,,,,,,,,,,,1,5,5,6,6,6,,,,,,,1,6,5,6,6,5,1,6,6,3,6,6,,,,,,,1
R_xxWlPH87mC5eQql,Default Response Set,Anonymous,,,0,10/22/15 17:02,10/22/15 17:17,1,1,1,1970,1,7,7,7,7,7,,,,,,,1,3,5,7,5,4,,,,,,,,,,,,,1,2,3,6,4,3,1,5,6,7,6,5,,,,,,,1,2,2,7,5,5,,,,,,,,,,,,,1,3,4,6,4,4,1,5,6,7,6,4,,,,,,,1,7,7,7,7,7,,,,,,,1,1,1,1,2,1,,,,,,,1,4,5,7,6,7,,,,,,,,,,,,,1,5,6,7,6,6,,,,,,,1,3,5,7,6,4,1
R_6fZ4sljAPcd7h4Z,Default Response Set,Anonymous,,,0,10/22/15 17:04,10/22/15 17:18,1,1,1,1978,,,,,,,1,6,6,6,5,5,,,,,,,1,5,5,5,4,3,,,,,,,1,4,4,5,4,4,1,3,3,6,4,5,,,,,,,1,4,4,5,4,4,,,,,,,,,,,,,1,4,4,5,3,3,1,6,6,6,6,4,,,,,,,,,,,,,1,6,6,6,6,6,1,2,2,2,2,2,,,,,,,,,,,,,1,4,4,6,5,4,1,6,6,6,5,5,,,,,,,1,5,5,6,4,5,,,,,,,1
R_1IQzuIArUnRmfcg,Default Response Set,Anonymous,,,0,10/22/15 17:07,10/22/15 17:19,1,1,1,1984,1,6,6,6,6,6,,,,,,,1,5,6,6,6,6,,,,,,,,,,,,,1,5,5,6,5,5,1,5,5,6,4,4,,,,,,,1,6,6,6,5,5,,,,,,,,,,,,,1,4,3,4,4,4,,,,,,,1,6,6,6,6,6,,,,,,,1,6,6,6,4,5,1,2,2,2,1,1,,,,,,,1,5,5,5,4,6,,,,,,,,,,,,,1,6,6,6,6,6,,,,,,,1,5,6,6,6,6,1
R_2tM3eTVzK2S4mPC,Default Response Set,Anonymous,,,0,10/22/15 17:10,10/22/15 17:19,1,1,1,1987,1,7,7,7,7,7,,,,,,,,,,,,,1,6,6,6,6,6,1,3,3,4,3,3,,,,,,,1,6,6,6,6,6,,,,,,,,,,,,,1,4,4,4,5,5,,,,,,,1,1,1,3,3,3,,,,,,,1,7,7,7,7,7,1,7,7,7,7,7,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,5,5,6,5,5,1,6,6,7,6,6,,,,,,,1,6,6,6,6,6,,,,,,,1
R_31XDK3e45Ip79LW,Default Response Set,Anonymous,,,0,10/22/15 16:59,10/22/15 17:19,1,1,1,1993,,,,,,,1,5,5,4,4,4,1,5,5,5,5,5,,,,,,,,,,,,,1,4,4,4,4,4,1,3,4,4,4,4,,,,,,,1,5,5,4,4,4,,,,,,,,,,,,,1,4,5,4,4,4,1,5,4,4,4,4,,,,,,,1,6,5,5,5,5,,,,,,,1,5,4,4,4,4,,,,,,,1,3,3,3,3,3,,,,,,,,,,,,,1,4,4,5,5,5,1,4,4,4,4,4,,,,,,,1
R_2yf8lgRHYMdrGTr,Default Response Set,Anonymous,,,0,10/22/15 16:57,10/22/15 17:20,1,1,1,1982,1,5,6,5,6,6,,,,,,,,,,,,,1,4,4,4,4,4,,,,,,,1,3,3,3,3,3,,,,,,,1,6,6,6,6,6,,,,,,,1,2,2,2,2,2,1,7,7,7,7,7,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,1,7,7,7,7,4,,,,,,,1,1,1,1,1,1,1,7,7,7,7,7,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,1,7,7,7,7,7,1
R_3IQAAqqF2nigduY,Default Response Set,Anonymous,,,0,10/22/15 17:07,10/22/15 17:20,1,1,1,1985,1,6,5,6,5,6,,,,,,,,,,,,,1,5,5,6,4,5,1,5,4,6,3,6,,,,,,,,,,,,,1,2,2,5,2,3,,,,,,,1,2,2,4,2,3,1,6,5,7,4,6,,,,,,,1,6,5,7,5,6,,,,,,,,,,,,,1,6,6,6,5,6,,,,,,,1,3,2,5,2,6,1,5,5,6,4,5,,,,,,,1,4,4,6,4,5,,,,,,,1,5,4,6,4,5,,,,,,,1
R_29nBgIZq06RGx1V,Default Response Set,Anonymous,,,0,10/22/15 17:04,10/22/15 17:20,1,1,2,1978,1,6,6,6,6,4,,,,,,,,,,,,,1,3,4,5,6,4,,,,,,,1,2,2,2,2,2,1,4,4,5,4,4,,,,,,,1,4,5,6,6,6,,,,,,,,,,,,,1,1,1,1,1,3,,,,,,,1,6,6,6,6,4,,,,,,,1,2,4,5,5,4,,,,,,,1,2,2,3,2,3,,,,,,,1,4,3,4,3,4,,,,,,,1,2,1,5,4,2,1,4,5,5,5,6,,,,,,,1
R_8jMEbf325eWDDEN,Default Response Set,Anonymous,,,0,10/22/15 17:06,10/22/15 17:21,1,1,2,1989,,,,,,,1,5,5,6,6,4,,,,,,,1,4,5,6,6,6,1,2,3,2,3,3,,,,,,,,,,,,,1,1,1,2,2,1,1,2,2,3,3,2,,,,,,,1,2,3,3,3,2,,,,,,,,,,,,,1,5,5,6,6,5,,,,,,,1,7,5,7,7,7,,,,,,,1,2,1,1,1,1,1,2,2,2,2,2,,,,,,,,,,,,,1,1,2,2,2,2,,,,,,,1,3,3,2,4,2,1
R_1qapszYMTys4xBk,Default Response Set,Anonymous,,,0,10/22/15 17:04,10/22/15 17:21,1,1,1,1983,,,,,,,1,6,7,7,7,7,1,3,6,6,5,5,,,,,,,,,,,,,1,5,4,5,5,5,,,,,,,1,3,4,5,4,3,1,4,6,7,7,7,,,,,,,1,5,4,6,7,7,,,,,,,1,5,7,7,7,7,,,,,,,1,4,5,6,6,5,,,,,,,1,2,2,2,1,2,,,,,,,1,4,4,6,5,5,,,,,,,,,,,,,1,3,5,7,7,4,,,,,,,1,3,7,7,7,6,1
R_1CwmavOJNjmLwLW,Default Response Set,Anonymous,,,0,10/22/15 17:06,10/22/15 17:21,1,1,1,1979,,,,,,,1,4,5,5,5,5,,,,,,,1,4,4,5,5,5,1,4,4,5,4,5,,,,,,,,,,,,,1,1,1,2,1,2,1,4,4,6,5,6,,,,,,,1,4,4,5,5,5,,,,,,,1,4,4,5,6,5,,,,,,,1,5,4,6,6,5,,,,,,,1,1,1,2,1,1,,,,,,,,,,,,,1,3,3,6,5,6,1,3,3,5,4,4,,,,,,,1,4,4,5,6,5,,,,,,,1
R_3ErNjAIJwU3QXNv,Default Response Set,Anonymous,,,0,10/22/15 17:08,10/22/15 17:21,1,1,1,1987,1,6,6,6,4,6,,,,,,,1,5,6,6,6,3,,,,,,,1,3,4,4,4,3,,,,,,,,,,,,,1,2,2,3,2,3,1,4,5,5,4,4,,,,,,,1,3,2,4,3,3,,,,,,,,,,,,,1,5,6,6,6,4,,,,,,,1,4,4,4,3,3,1,1,1,1,1,1,,,,,,,1,2,2,4,2,1,,,,,,,,,,,,,1,4,4,5,3,3,,,,,,,1,4,5,5,5,4,1
R_2VstIgCMXTwWEAB,Default Response Set,Anonymous,,,0,10/22/15 17:05,10/22/15 17:24,1,1,2,1971,1,5,3,6,5,5,,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,1,3,3,5,5,4,,,,,,,1,1,1,4,1,1,1,6,5,6,6,6,,,,,,,,,,,,,1,1,1,1,1,1,1,7,7,7,7,7,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,1,5,3,5,4,5,,,,,,,1,3,3,6,4,4,,,,,,,1,7,7,7,7,7,,,,,,,1,6,6,7,7,7,1
R_D93pRntbkO7bdw5,Default Response Set,Anonymous,,,0,10/22/15 17:13,10/22/15 17:25,1,1,1,1988,,,,,,,1,5,5,6,5,4,,,,,,,1,5,5,4,5,4,,,,,,,1,5,5,5,5,4,1,6,6,6,6,5,,,,,,,1,5,5,6,5,4,,,,,,,,,,,,,1,5,5,5,3,5,,,,,,,1,6,6,6,6,6,,,,,,,1,6,6,6,6,5,,,,,,,1,3,1,5,4,5,1,4,3,5,4,4,,,,,,,1,5,5,6,4,4,,,,,,,1,5,5,6,6,5,,,,,,,1
R_3iKXJX4kxSJZ5pb,Default Response Set,Anonymous,,,0,10/22/15 17:18,10/22/15 17:25,1,1,2,1983,,,,,,,1,2,2,2,1,1,,,,,,,1,2,3,2,2,2,,,,,,,1,2,1,2,1,1,1,2,1,1,1,1,,,,,,,,,,,,,1,1,1,2,2,1,,,,,,,1,2,1,1,1,1,,,,,,,1,2,2,1,2,1,1,1,2,2,1,1,,,,,,,1,1,1,2,2,1,,,,,,,,,,,,,1,2,1,1,1,1,1,2,1,1,2,2,,,,,,,1,1,2,1,1,1,,,,,,,1
R_1OPMeYTx3Rlwob7,Default Response Set,Anonymous,,,0,10/22/15 17:20,10/22/15 17:28,1,1,1,1982,,,,,,,1,5,5,6,5,5,1,5,4,6,5,4,,,,,,,,,,,,,1,4,3,6,4,4,1,5,6,6,5,5,,,,,,,,,,,,,1,3,2,4,3,4,1,5,3,6,4,4,,,,,,,1,5,5,6,5,4,,,,,,,,,,,,,1,6,6,6,6,5,,,,,,,1,2,2,6,2,2,1,5,5,6,4,4,,,,,,,1,4,2,6,4,4,,,,,,,,,,,,,1,5,5,6,6,5,1
R_12JUClLMBDZ0Gsm,Default Response Set,Anonymous,,,0,10/22/15 17:08,10/22/15 17:28,1,1,1,1989,,,,,,,1,6,6,7,6,6,,,,,,,1,5,5,5,5,4,1,3,3,4,4,3,,,,,,,,,,,,,1,4,4,5,3,4,,,,,,,1,3,3,4,3,3,1,5,4,6,4,5,,,,,,,1,6,7,6,6,5,,,,,,,1,6,6,6,6,5,,,,,,,1,2,3,2,2,3,,,,,,,1,4,4,5,4,4,,,,,,,1,4,5,5,4,4,,,,,,,,,,,,,1,5,5,6,4,5,1
R_1ODkfn2c9pD30zn,Default Response Set,Anonymous,,,0,10/22/15 17:15,10/22/15 17:28,1,1,1,1959,,,,,,,1,6,6,7,7,6,,,,,,,1,6,6,7,7,3,1,3,4,5,,5,,,,,,,,,,,,,1,4,5,6,5,5,,,,,,,1,4,3,4,3,4,,,,,,,1,4,4,6,5,4,1,6,6,7,7,7,,,,,,,,,,,,,1,6,6,7,7,7,,,,,,,1,4,4,5,3,3,,,,,,,1,4,4,5,4,4,1,5,6,7,7,5,,,,,,,1,6,6,7,7,5,,,,,,,1
R_1dKruGeMZfo0CcR,Default Response Set,Anonymous,,,0,10/22/15 17:18,10/22/15 17:28,1,1,2,1984,1,7,7,7,7,7,,,,,,,1,5,5,7,6,5,,,,,,,1,3,3,5,3,5,,,,,,,,,,,,,1,2,2,2,2,6,1,5,5,6,6,6,,,,,,,1,5,5,5,5,5,,,,,,,,,,,,,1,7,6,7,7,5,1,6,7,7,7,6,,,,,,,,,,,,,1,2,3,2,4,3,,,,,,,1,4,4,5,2,3,,,,,,,1,4,4,7,4,3,,,,,,,1,5,6,6,5,6,1
R_1dt6uEmrv7i7NMY,Default Response Set,Anonymous,,,0,10/22/15 17:17,10/22/15 17:28,1,1,1,1987,,,,,,,1,6,5,6,5,5,1,5,5,7,5,6,,,,,,,,,,,,,1,4,3,6,4,5,1,6,5,7,6,6,,,,,,,1,4,5,7,5,6,,,,,,,1,5,4,7,5,7,,,,,,,1,4,6,6,5,4,,,,,,,1,4,3,5,3,4,,,,,,,1,2,2,3,2,3,,,,,,,,,,,,,1,5,4,7,4,6,,,,,,,1,5,5,7,5,6,1,4,5,7,4,7,,,,,,,1
R_1qWc20jVphNzEwp,Default Response Set,Anonymous,,,0,10/22/15 17:04,10/22/15 17:29,1,1,1,1967,1,6,6,7,7,6,,,,,,,1,5,6,6,6,4,,,,,,,,,,,,,1,4,5,6,4,4,1,4,4,5,2,3,,,,,,,,,,,,,1,2,2,3,1,1,,,,,,,1,3,3,6,2,2,,,,,,,1,5,6,6,6,5,1,6,7,6,7,7,,,,,,,1,2,3,3,1,2,,,,,,,1,3,4,5,2,1,,,,,,,,,,,,,1,3,5,7,5,5,1,5,5,7,6,5,,,,,,,1
R_Wfb2i4omjXEebzX,Default Response Set,Anonymous,,,0,10/22/15 17:25,10/22/15 17:29,1,1,2,1975,1,6,6,6,6,6,,,,,,,1,5,5,5,5,5,,,,,,,1,4,4,5,4,4,,,,,,,,,,,,,1,4,4,4,4,4,1,5,5,5,5,5,,,,,,,1,4,4,4,4,4,,,,,,,,,,,,,1,6,6,6,6,6,,,,,,,1,5,5,5,5,5,1,5,5,5,5,5,,,,,,,1,5,5,5,5,5,,,,,,,1,4,4,4,4,4,,,,,,,,,,,,,1,6,6,6,6,6,1
R_3efOJxToZInn0eB,Default Response Set,Anonymous,,,0,10/22/15 17:17,10/22/15 17:31,1,1,1,1993,,,,,,,1,3,4,4,5,4,1,3,4,4,5,4,,,,,,,1,3,3,3,3,3,,,,,,,1,5,5,6,6,6,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,3,4,6,5,6,1,5,5,5,6,5,,,,,,,1,5,5,5,5,5,,,,,,,,,,,,,1,2,2,1,1,1,,,,,,,1,4,4,5,4,4,,,,,,,1,3,3,5,5,5,1,5,6,6,6,6,,,,,,,1
R_XLMwSwBCb1iKb3r,Default Response Set,Anonymous,,,0,10/22/15 17:14,10/22/15 17:32,1,1,1,1985,1,4,4,4,4,4,,,,,,,1,4,4,4,5,4,,,,,,,,,,,,,1,4,4,4,4,4,,,,,,,1,4,4,5,4,4,,,,,,,1,4,4,5,4,4,,,,,,,1,4,4,4,3,2,,,,,,,1,6,6,6,6,6,1,4,4,5,5,4,,,,,,,,,,,,,1,3,3,3,2,3,,,,,,,1,4,4,5,4,4,,,,,,,1,5,5,5,4,4,1,5,5,5,5,5,,,,,,,1
R_2yrAvcEg5H6s1e7,Default Response Set,Anonymous,,,0,10/22/15 17:22,10/22/15 17:33,1,1,1,1976,1,6,6,6,6,6,,,,,,,1,6,7,6,7,6,,,,,,,,,,,,,1,4,3,4,4,3,1,6,6,7,6,7,,,,,,,,,,,,,1,5,5,5,4,5,,,,,,,1,5,5,6,4,6,,,,,,,1,7,7,7,7,6,1,7,7,7,7,7,,,,,,,1,1,1,1,1,1,,,,,,,1,5,4,5,4,5,,,,,,,,,,,,,1,6,6,7,7,7,1,6,7,7,6,7,,,,,,,1
R_ah0gIsi3pcqkJ9L,Default Response Set,Anonymous,,,0,10/22/15 17:19,10/22/15 17:35,1,1,1,1986,,,,,,,1,5,4,5,5,4,1,4,6,5,5,4,,,,,,,,,,,,,1,4,5,6,4,4,1,4,5,6,4,5,,,,,,,1,5,6,7,5,5,,,,,,,,,,,,,1,3,2,6,4,5,,,,,,,1,5,6,7,6,4,,,,,,,1,4,6,6,5,5,1,1,2,4,2,3,,,,,,,,,,,,,1,3,4,5,4,4,,,,,,,1,3,6,6,4,5,,,,,,,1,4,5,6,5,6,1
R_2XiZXpGhWxDC1eT,Default Response Set,Anonymous,,,0,10/22/15 17:23,10/22/15 17:37,1,1,1,1978,1,5,5,6,5,7,,,,,,,1,4,5,4,3,3,,,,,,,,,,,,,1,3,2,2,1,2,,,,,,,1,2,1,2,1,2,,,,,,,1,2,1,2,1,3,,,,,,,1,2,2,3,2,4,1,5,6,6,5,5,,,,,,,,,,,,,1,4,7,7,6,5,1,1,1,1,1,2,,,,,,,,,,,,,1,3,3,4,3,5,1,4,6,5,6,7,,,,,,,,,,,,,1,4,4,5,4,3,1
R_3KYJwSME89wCLa8,Default Response Set,Anonymous,,,0,10/22/15 17:12,10/22/15 17:38,1,1,1,1990,1,5,2,6,4,4,,,,,,,,,,,,,1,6,6,6,6,6,,,,,,,1,5,3,6,5,6,,,,,,,1,4,1,3,2,2,1,6,6,6,6,6,,,,,,,1,4,3,5,4,5,,,,,,,1,7,7,7,7,7,,,,,,,1,6,4,4,7,6,,,,,,,1,3,3,4,4,3,,,,,,,1,5,5,6,5,6,,,,,,,,,,,,,1,6,6,6,6,6,1,4,2,6,4,5,,,,,,,1
R_302FG6oF9fbBYG9,Default Response Set,Anonymous,,,0,10/22/15 17:28,10/22/15 17:38,1,1,2,1958,1,6,6,6,6,5,,,,,,,1,6,6,6,5,5,,,,,,,,,,,,,1,3,3,5,4,4,,,,,,,1,2,2,3,2,2,1,6,6,7,6,5,,,,,,,,,,,,,1,4,4,4,4,4,,,,,,,1,6,6,6,6,4,1,5,4,6,6,4,,,,,,,,,,,,,1,4,4,5,5,4,1,5,5,5,4,4,,,,,,,1,6,6,6,5,5,,,,,,,,,,,,,1,6,6,6,5,5,1
R_2UVPGfAEtgStsWE,Default Response Set,Anonymous,,,0,10/22/15 17:27,10/22/15 17:39,1,1,2,1978,,,,,,,1,6,5,6,6,5,,,,,,,1,5,4,6,5,5,1,2,1,5,4,4,,,,,,,,,,,,,1,1,1,5,2,3,1,4,5,7,7,7,,,,,,,1,3,4,5,4,3,,,,,,,,,,,,,1,4,5,5,5,4,,,,,,,1,5,7,7,7,6,1,4,4,5,4,3,,,,,,,1,2,2,4,3,3,,,,,,,1,3,2,7,6,6,,,,,,,,,,,,,1,3,4,7,6,6,1
R_sdw9SsCXaZdVtLj,Default Response Set,Anonymous,,,0,10/22/15 17:28,10/22/15 17:41,1,1,1,1983,,,,,,,1,4,4,4,4,4,,,,,,,1,5,5,5,5,5,1,2,2,4,2,3,,,,,,,1,6,6,6,6,6,,,,,,,1,4,4,5,4,5,,,,,,,1,5,5,5,5,5,,,,,,,1,4,4,4,4,4,,,,,,,,,,,,,1,6,6,6,6,6,,,,,,,1,3,3,3,3,3,1,3,3,4,3,4,,,,,,,,,,,,,1,3,3,3,3,3,1,5,5,5,5,5,,,,,,,1
R_3WYtJEmQJKXv8RT,Default Response Set,Anonymous,,,0,10/22/15 17:23,10/22/15 17:43,1,1,2,1981,,,,,,,1,5,5,6,5,6,1,5,6,6,6,6,,,,,,,1,4,3,3,3,3,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,1,2,1,2,2,2,1,6,6,7,6,6,,,,,,,1,7,7,7,7,7,,,,,,,1,5,5,6,5,5,,,,,,,,,,,,,1,4,3,4,3,3,,,,,,,1,5,6,6,5,5,1,6,6,7,6,7,,,,,,,,,,,,,1,7,7,7,7,7,1
R_3jYUxdKXBFDqKuE,Default Response Set,Anonymous,,,0,10/22/15 17:02,10/22/15 17:47,1,1,1,1983,1,5,4,7,5,5,,,,,,,,,,,,,1,3,5,5,5,4,1,4,3,4,5,5,,,,,,,1,5,6,5,6,5,,,,,,,,,,,,,1,3,3,2,4,2,,,,,,,1,4,3,5,4,5,1,5,5,7,6,5,,,,,,,,,,,,,1,5,5,6,6,7,,,,,,,1,5,3,5,4,5,,,,,,,1,4,2,5,4,4,1,5,4,7,5,5,,,,,,,1,6,5,6,6,6,,,,,,,1
R_2pRHMuEANXak5uj,Default Response Set,Anonymous,,,0,10/22/15 17:26,10/22/15 17:47,1,1,1,1992,1,3,3,5,4,4,,,,,,,,,,,,,1,3,3,4,4,1,1,5,5,6,6,4,,,,,,,,,,,,,1,5,5,6,5,4,1,4,4,4,4,2,,,,,,,1,4,3,4,3,3,,,,,,,,,,,,,1,4,5,6,6,3,,,,,,,1,5,5,6,6,2,,,,,,,1,1,1,1,2,1,,,,,,,1,4,4,4,4,2,,,,,,,1,3,3,4,3,4,1,3,2,4,5,4,,,,,,,1
R_1hPU0hPnKayTKiE,Default Response Set,Anonymous,,,0,10/22/15 17:27,10/22/15 17:49,1,1,1,1978,,,,,,,1,3,3,3,4,4,,,,,,,1,5,5,6,5,5,1,3,2,2,2,4,,,,,,,1,4,5,5,4,4,,,,,,,,,,,,,1,3,3,3,3,3,,,,,,,1,2,2,2,2,3,,,,,,,1,5,6,6,5,5,1,5,5,5,5,5,,,,,,,1,2,2,2,3,2,,,,,,,,,,,,,1,4,4,5,5,5,,,,,,,1,5,6,5,5,4,,,,,,,1,5,5,6,6,4,1
R_3m2xASExaUk6mfV,Default Response Set,Anonymous,,,0,10/22/15 17:09,10/22/15 17:52,1,1,1,1980,1,6,7,7,6,6,,,,,,,1,6,6,5,6,4,,,,,,,,,,,,,1,4,3,4,4,4,,,,,,,1,4,4,5,3,3,,,,,,,1,2,2,3,2,2,,,,,,,1,5,5,6,5,5,1,6,6,5,6,5,,,,,,,,,,,,,1,5,5,6,6,4,,,,,,,1,5,6,5,5,5,1,4,5,4,4,4,,,,,,,,,,,,,1,5,5,5,4,4,,,,,,,1,5,6,5,6,5,1
R_DAyRc82FxOawQi5,Default Response Set,Anonymous,,,0,10/22/15 17:49,10/22/15 18:09,1,1,1,1988,1,4,4,4,2,3,,,,,,,,,,,,,1,2,2,4,3,1,,,,,,,1,4,3,4,2,2,1,4,1,6,2,4,,,,,,,1,2,4,4,2,2,,,,,,,1,4,1,5,3,2,,,,,,,,,,,,,1,4,4,7,7,4,1,4,3,6,6,5,,,,,,,1,3,4,2,1,2,,,,,,,1,3,1,6,2,1,,,,,,,1,3,2,4,3,1,,,,,,,1,2,2,3,3,2,,,,,,,1
